단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
007390,KR7007390008,네이처셀,ST,1.0,0,1009,1024,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,16090,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,826563,500,19921130,62637,31318578000,12,,0,,N,Y,222,-95,-320,-320,-52,20211231.0,10078,,N,N,N
007530,KR7007530009,영신금속,ST,3.0,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3345,1,1,N,N,N,0,N,N,N,0,0,0,60,N,90,26154,500,19940805,19174,9587226000,12,,0,,N,N,1075,39,34,29,9,20220930.0,641,,N,N,N
007680,KR7007680002,대원,ST,3.0,0,1010,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,7120,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,25173,500,20171201,13446,6723237000,12,,0,,N,N,2583,149,253,217,9,20220930.0,957,,N,N,N
007720,KR7007720006,대명소노시즌,ST,3.0,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,699,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,176805,500,19940106,100800,50400225000,12,,0,,N,N,1229,-138,-132,-138,-14,20220930.0,704,,N,N,N
007770,KR7007770001,한일화학,ST,3.0,0,1009,1023,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,16830,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,26583,500,19920907,3510,1755000000,12,,0,,N,N,1206,69,98,71,8,20220930.0,590,,N,N,N
007820,KR7007820004,에스엠코어,ST,3.0,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6810,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,250033,500,20111108,20033,10016973000,12,,0,,N,N,763,18,54,49,9,20220930.0,1364,535,N,N,N
008290,KR7008290009,원풍물산,ST,3.0,0,1009,1020,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,741,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,101523,500,19970718,40693,20346839500,12,,0,,N,N,309,-13,-90,-93,-34,20211231.0,301,,N,N,N
008370,KR7008370009,원풍,ST,3.0,0,1009,1023,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4880,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,9929,500,19921218,12000,6000000000,12,,0,,N,N,741,86,126,97,15,20220930.0,585,,N,N,N
008470,KR7008470007,부스타,ST,3.0,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5150,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,35400,500,20110223,8404,4202400000,12,,0,,N,N,659,-31,-29,-29,-5,20220930.0,432,,N,N,N
008830,KR7008830002,대동기어,ST,3.0,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6730,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,13448,500,19910517,8987,4493760000,12,,0,,N,N,2421,76,46,42,6,20221231.0,604,,N,N,N
009300,KR7009300005,삼아제약,ST,3.0,0,1009,1024,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,16200,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,7779,1000,20000719,6370,6370000000,12,,0,,N,N,575,134,128,80,6,20220930.0,1031,,N,N,N
009520,KR7009520008,포스코엠텍,ST,2.0,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,1,N,N,N,N,N,N,N,N,11530,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,5319546,500,19971110,41642,20821351500,12,,0,,N,N,3422,64,66,48,4,20221231.0,4801,853,N,N,N
009620,KR7009620006,삼보산업,ST,3.0,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,909,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,396594,100,19931207,45255,4525556100,12,,0,,N,N,3401,88,-51,-52,-33,20220930.0,411,,N,N,N
009730,KR7009730003,코센,ST,3.0,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,2,N,N,N,N,N,N,N,N,2110,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,188414,500,19900727,25190,12595009000,12,,0,,N,N,484,11,10,10,11,20220930.0,531,,N,N,N
009780,KR7009780008,엠에스씨,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5820,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,14106,500,19931012,17600,8800000000,12,,0,,N,N,1479,201,190,145,16,20220930.0,1024,,N,N,N
010170,KR7010170009,대한광통신,ST,2.0,0,1009,1028,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2510,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,364007,500,19941107,74511,37255583000,12,,0,,N,N,1296,11,-31,-32,-4,20220930.0,1870,,N,N,N
010240,KR7010240000,흥국,ST,3.0,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6240,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,40739,500,20090512,12322,6161348000,12,,0,,N,N,1346,112,109,85,10,20221231.0,768,,N,N,N
010280,KR7010280006,쌍용정보통신,ST,3.0,1007,1017,1037,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,970,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,457989,500,20000414,63964,31982017000,12,,0,,N,N,1765,-22,-14,-11,-4,20220930.0,620,,N,N,N
